纳税人编号,销售类型,销售模式,汽车销售平均毛利,维修毛利,企业维修收入占销售收入比重,增值税税负,存货周转率,成本费用利润率,整体理论税负,整体税负控制数,办牌率,单台办牌手续费收入,代办保险率,保费返还率,输出
1,国产轿车,4S店,0.0635,0.3241,0.0879,0.0084,8.5241,0.0018,0.0166,0.0147,0.4,0.02,0.7155,0.15,正常
2,国产轿车,4S店,0.052,0.2577,0.1394,0.0298,5.2782,-0.0013,0.0032,0.0137,0.3307,0.02,0.2697,0.1367,正常
3,国产轿车,4S店,0.0173,0.1965,0.1025,0.0067,19.8356,0.0014,0.008,0.0061,0.2256,0.02,0.2445,0.1301,正常
4,国产轿车,一级代理商,0.0501,0,0,0,1.0673,-0.3596,-0.1673,0,0,0,0,0,异常
5,进口轿车,4S店,0.0564,0.0034,0.0066,0.0017,12.847,-0.0014,0.0123,0.0095,0.0039,0.08,0.0117,0.1872,正常
6,进口轿车,4S店,0.0484,0.6814,0.0064,0.0031,15.2445,0.0012,0.0063,0.0089,0.1837,0.04,0.0942,0.27,正常
7,进口轿车,4S店,0.052,0.3868,0.0348,0.0054,16.8715,0.0054,0.0103,0.0108,0.2456,0.05,0.5684,0.1401,正常
8,大客车,一级代理商,-1.0646,0,0,0.077,2,-0.2905,-0.181,0,0,0,0,0,异常
9,国产轿车,二级及二级以下代理商,0.0341,-1.2062,0.0025,0.007,9.6142,-0.1295,0.0413,0.0053,0.7485,0.07,0.307,0.0356,异常
10,国产轿车,二级及二级以下代理商,0.0312,0.2364,0.0406,0.0081,21.3944,0.0092,0.0112,0.0067,0.6621,0.06,0.3379,0.1306,正常
11,国产轿车,4S店,0.0489,0.4763,0.0851,0,10.9974,0.2156,0.0136,0.0145,0,0,0,0,正常
12,国产轿车,4S店,0.0638,0.457,0.1521,0.0175,3.5134,0.1022,0.0239,0.021,0,0,0,0,正常
13,国产轿车,4S店,0.025,0.5117,0.0332,0.0107,18.3744,0.5642,0.0071,0.007,0,0,0,0,正常
14,国产轿车,4S店,0.0354,0.3237,0.0505,0,8.1862,-0.0001,0.0002,0.0085,0,0,0,0,正常
15,国产轿车,4S店,0.0204,0.4578,0.0568,0,9.8039,0.0002,0.0046,0.0077,0,0,0,0,正常
16,国产轿车,4S店,0.0578,0.4547,0.0677,0.015,11.4036,0.0014,0.0118,0.0144,0,0,0,0,正常
17,国产轿车,4S店,0.0614,0.5868,0.008,0.003,11.9058,0,0.0184,0.0112,0,0,0,0,正常
18,国产轿车,4S店,0.0546,0.4269,0.042,0.0055,6.4187,1.094,-0.0044,0.0119,0,0,0,0,正常
19,国产轿车,4S店,0.0323,0.4132,0.0352,0.0047,11.0045,1.2121,0.0188,0.0078,0,0,0,0,正常
20,国产轿车,4S店,0.0587,0.3284,0.0212,0,21.3226,1.5312,0.012,0.011,0,0,0,0,异常
21,国产轿车,4S店,0.044,0.4071,0.0181,0.0079,18.4517,0.9134,0.0258,0.0086,0.8775,0.15,0,0,异常
22,国产轿车,4S店,0.0555,0,0,0.0056,22.4516,0.9252,0.0087,0,0.7137,0.09,0,0,异常
23,国产轿车,其它,0.006,0,0,0,0,0.006,0.0009,0,0,0,0,0,异常
24,国产轿车,其它,0.0185,0,0,0.004,0,0.0185,0.004,0,0,0,0,0,正常
25,大客车,一级代理商,0.0115,0,0,0.0028,47.6128,0.0004,0.0042,0,0,0,0,0,异常
26,大客车,一级代理商,0.0091,0,0,0.0028,40.0488,0.0004,-0.0012,0,0,0,0,0,异常
27,大客车,一级代理商,0.0115,0,0,0.0027,48.383,0.0003,0.0053,0,0,0,0,0,异常
28,其它,4S店,-0.0047,0.2811,0.1362,0.0089,12.0948,-0.0074,-0.0081,0.0058,0.4269,0.02,1.0744,0.19,正常
29,其它,4S店,0.0066,0.2784,0.1301,0.0064,26.9379,-0.0046,0.0085,0.0071,0.4478,0.02,1.006,0.19,正常
30,其它,4S店,0.0073,0.2705,0.1473,0.0073,20.6979,-0.0117,0.0091,0.0078,0.6214,0.03,1.396,0.19,正常
31,国产轿车,多品牌经营店,0.0129,0.2229,0.003,0.0046,15.2462,0.0005,0.0064,0.0023,0.3832,0.02,0.7365,0.19,正常
32,国产轿车,多品牌经营店,0.0174,0.1373,0.0005,0.0085,9.7101,0.0036,0.0014,0.0029,0.402,0.02,1.1592,0.19,正常
33,国产轿车,多品牌经营店,0.0129,0.1553,0.0024,0.0173,15.0749,-0.019,-0.0008,0.0022,0.6333,0.02,0,0,异常
34,商用货车,4S店,-0.0001,-1.458,0.0041,0,21.5861,-0.0196,0.0005,-0.001,0.4005,0.07,0.1134,0.0435,异常
35,商用货车,4S店,0.0481,0.4162,0.0307,0.0008,17.2412,0.0005,0.0118,0.0101,0.5961,0.05,0.167,0.0431,正常
36,商用货车,4S店,0.0556,0.3795,0.037,0.0025,11.8878,0.0183,0.0125,0.0115,0.6375,0.04,0.2576,0.0417,正常
37,国产轿车,4S店,0.0344,0.1106,0.0414,0.0044,20.9378,0.001,0.0066,0.0064,0,0,0,0,正常
38,国产轿车,4S店,0.0488,0.1334,0.0618,0.0057,13.7392,0.0015,0.0086,0.0092,0,0,0,0,正常
39,国产轿车,4S店,0.0448,0.141,0.0848,0.0088,10.4081,0.0021,0.0105,0.0092,0,0,0,0,正常
40,进口轿车,4S店,0.0433,0.4112,0.0373,0.0013,3.5606,0.1061,0.0128,0.0097,0.083,0.0005,0.0086,0.1062,正常
41,进口轿车,4S店,0.0213,0.419,0.0885,0.0044,2.489,0.051,-0.0026,0.0096,0.1335,0.0005,0.1805,0.1423,正常
42,进口轿车,4S店,0.0115,0.433,0.0672,0.0106,2.9347,0.1143,0.0082,0.0068,0.1458,0.0005,0.5015,0.1478,正常
43,进口轿车,4S店,0.0915,0.4533,0.1614,0,3.0846,-0.1209,0.0305,0.0255,0,0,0,0,正常
44,进口轿车,4S店,0.0805,0.4572,0.1936,0.0005,2.618,0.0038,0.0206,0.0261,0,0,0,0,正常
45,进口轿车,4S店,0.0252,0.4919,0.2216,0.0684,2.3704,-0.0386,0.0226,0.0219,0,0,0,0,正常
46,微型面包车,4S店,0.0767,1,0.0473,0.0111,23.2464,0,0.0157,0.018,0,0,0,0,正常
47,卡车及轻卡,4S店,0.0769,0.1581,0.0734,0,2.2613,-0.0039,0.0188,0.0129,0.789,0,0.789,0,正常
48,其它,一级代理商,0,0,0,0.0014,27.4427,0.0007,0.002,0,0.0781,0.06,0.0518,0,异常
49,国产轿车,4S店,0.0182,0.3171,0.0852,0.005,7.433,0.0002,0.0091,0.0082,0,0,0,0,正常
50,大客车,一级代理商,0.0167,0,0,0.0028,30.5071,0.0006,0.0002,0,0,0,0,0,异常
51,工程车,4S店,0.0626,0,0,0.01,4.9142,0.0044,-0.0126,0,0.4423,0.2,0,0,异常
52,其它,一级代理商,0.046,0,0,0.0171,5.7728,0.2496,0.0091,0,0.3759,0.03,0.4533,0.1102,异常
53,微型面包车,4S店,0,0.4923,0.0618,0.008,0,0.0132,0.008,0.0083,0,0,0,0,正常
54,国产轿车,4S店,0,0.4713,0.1116,0.0214,10.9465,0.0005,0.0136,0.0125,0,0,0,0,正常
55,微型面包车,二级及二级以下代理商,0.0478,0,0,0.0046,13.3902,9.8272,0.0088,0,0,0,0,0,异常
56,进口轿车,4S店,0.0374,0.3702,0.0666,0.0063,8.575,1.0488,0.0117,0.0114,0,0,0,0,正常
57,微型面包车,二级及二级以下代理商,0.0218,0.3359,0.2421,0,4.184,-0.0133,0.021,0.0187,0,0,0,0,正常
58,国产轿车,4S店,0.0108,0.1653,0.1096,0.0103,15.1848,0.0536,0.012,0.0069,0.6617,0.07,1.5297,0.0854,正常
59,国产轿车,4S店,0.0737,0.5374,0.0594,0.0062,18.3264,0.3313,0.012,0.0121,0.5786,0.09,1.2142,0.1077,正常
60,国产轿车,4S店,0,0.0208,0.0322,0,4.3859,-0.2797,0.0075,-0.007,0.48,0.04,0.62,0.125,异常
61,国产轿车,4S店,0.0516,0.4519,0.1107,0.0086,6.8334,0.0006,0.0125,0.0134,0.2703,0.04,0,0,正常
62,进口轿车,4S店,0,0,0,0.0023,4.2507,0.004,0.0095,0.0093,0,0,0,0,正常
63,大客车,二级及二级以下代理商,0,0,0,0,0,0,0,0,0,0,0,0,异常
64,国产轿车,4S店,0.0306,0.3962,0.1285,0.0111,8.3694,-0.0103,0.0267,0.0145,0.4672,0.05,1.0076,0.1284,正常
65,进口轿车,4S店,0,0,0,0,0,-1,0,0,0,0,0,0,异常
66,国产轿车,4S店,0,-3.1255,0.0011,0.0006,96.7461,-0.3845,0.0043,-0.0057,0.4137,0.0005,0.6324,0.1687,异常
67,其它,一级代理商,0.0473,0,0,0.0116,0,-0.1911,0.0116,0,0,0,0,0,正常
68,卡车及轻卡,4S店,0.041,0.2492,0.0958,0.0095,31.4656,0.0066,0.0121,0.0115,0.0849,0.02,0.1963,0.086,正常
69,大客车,多品牌经营店,0,0.0118,1,0.0021,0.9543,-0.3159,0.0018,0,0,0,0,0,正常
70,国产轿车,4S店,0,0.3647,0.0088,0.0004,14.8937,-0.0428,0.0181,0.0014,0.1293,0.05,0.1195,0.08,异常
71,大客车,多品牌经营店,0,0,0,0.0382,8.0492,-0.0902,0.1022,0,0,0,0,0,异常
72,国产轿车,4S店,0.0348,0.466,0.0561,0.0086,11.3784,0.0183,0.002,0.0037,0.1129,0.06,0.5907,0.1104,正常
73,卡车及轻卡,二级及二级以下代理商,0,0,0,0,0,0,0,0,0,0,0,0,异常
74,进口轿车,二级及二级以下代理商,0,0,0,0.002,0,-0.1465,-0.0023,0,0,0,0.129,0,异常
75,国产轿车,4S店,0.0042,0.5109,0.1127,0,8.6274,0.0042,-0.0022,0.0079,0.7186,0.13,0,0,正常
76,其它,二级及二级以下代理商,0.1663,0,0,0.016,6.177,0.0059,0.0305,0,0.4783,0,0.4783,0,异常
77,其它,多品牌经营店,0.1774,0,0,0.0668,13.7032,0.0041,0.068,0.039,0,0,0,0,正常
78,其它,其它,0.1187,0,0,0,0,0,0,0,0,0,0,0,异常
79,进口轿车,4S店,0.0559,0.1774,1,0.0063,0.9211,0,0.0178,0,0,0,0,0,异常
80,国产轿车,4S店,0.0193,0.1952,0.104,0.0035,10.4175,0.0101,0.0198,0.0186,0.049,0.01,0,0,正常
81,国产轿车,4S店,0.0604,0.5108,0.2323,0.0278,6.155,-0.0138,0.0287,0.0301,0.3897,0.03,0.9574,0.1544,正常
82,国产轿车,4S店,0,0,0,0,0,0,0,0,0,0,0,0,正常
83,进口轿车,一级代理商,0.1052,0.2006,0.0526,0.0049,2.8888,0,0.0458,0.0213,0,0.04,0,-0.0148,正常
84,国产轿车,4S店,0.0495,0.3961,0.1788,0.0195,10.4602,0,0.0203,0.0229,0,0,0,0,正常
85,国产轿车,二级及二级以下代理商,0,0,0,0.0657,3.3311,-0.1446,0.1593,0,0,0,0,0,异常
86,卡车及轻卡,一级代理商,0.0078,0,0,0.0067,16.3,0.0723,0.0119,0,0,0,0,0,异常
87,国产轿车,4S店,0.0275,0.4718,0.0648,0.0083,5.2603,-0.0013,-0.0143,0.0077,0,0,0.9245,0.0628,正常
88,国产轿车,4S店,0,0.6924,0.0365,0.0059,4.7093,0.6007,0.0719,0.0147,0,0,0.0547,0.1639,异常
89,大客车,多品牌经营店,0.1017,0,0,0,0,-1,0,0,0,0,0,0,异常
90,大客车,二级及二级以下代理商,0,0,0,0,0,0,0,0,0,0,0,0,异常
91,国产轿车,4S店,0.0341,-0.0289,0.0691,0.0272,6.4914,-0.018,0.0103,0.0111,0.347,0.05,0.595,0.1657,异常
92,商用货车,二级及二级以下代理商,0,0,0,0,0,0,0,0,0,0,0,0,异常
93,国产轿车,一级代理商,0,0.3333,1,0.0333,0,-0.9302,0.0333,0,0,0,0,0,异常
94,国产轿车,4S店,0.0948,0.2103,0.1835,0.0051,1.9322,-0.0939,0.0303,0.0118,0,0,0,0,正常
95,国产轿车,4S店,0.0299,0.2824,0.0747,0.0047,8.6046,0.0201,-0.0005,0.0074,0,0,0,0,正常
96,大客车,其它,0,0,0,0.0107,21.2676,0.2904,0.0123,0,0,0,0,0,正常
97,卡车及轻卡,二级及二级以下代理商,0.0235,0,0,0.0026,12.0229,-0.0025,0.02,0,0,0,0,0,正常
98,国产轿车,4S店,0.0469,0.4438,0.0921,0.0064,19.8277,0.0182,0.0106,0.0126,0.3771,0.01,0.4306,0.11,异常
99,国产轿车,4S店,0.0404,0.2879,0.1408,0.0113,5.8424,-0.0153,0.0178,0.0117,0.2784,0,0.5753,0.1081,正常
100,国产轿车,4S店,0.0238,0,0,0,8.4731,-0.0129,0.0024,0.0025,0,0,0,0,正常
101,国产轿车,4S店,0.0212,0,0,0,0,-0.0106,0,0,0,0,0,0,异常
102,大客车,二级及二级以下代理商,0.0109,0,0,0.003,0,0.0041,0.003,0,0,0,0,0,异常
103,国产轿车,一级代理商,0.0301,0.1325,0.076,0.0053,7.3614,0.0005,0.0129,0.0038,0,0,0.0013,0.156,正常
104,国产轿车,4S店,0.012,0.4424,0.1393,0.0088,9.7004,1.027,0.012,0.0148,0,0,0,0,正常
105,进口轿车,4S店,0,0,0,0,3.3748,-0.1933,0.067,0,0,0,0,0,异常
106,微型面包车,一级代理商,0,0,0,0,0,0,0,0,0,0,0,0,异常
107,工程车,一级代理商,0.0172,0.2492,0.034,0.0015,11.5771,0.0049,0.0048,0.0045,0,0,0,0,正常
108,其它,4S店,0.0539,0.2598,0.0463,0.0096,26.1375,0.103,0.012,0.0121,0.1556,0.02,0.1158,0.1197,正常
109,国产轿车,4S店,0.0471,0.4431,0.0778,0.0086,21.3278,0.0027,0.0115,0.0083,0.3321,0.02,0.3937,0.1298,正常
110,国产轿车,二级及二级以下代理商,0.0129,0,0,0.0073,0,-0.0036,0.0073,0,0,0,0,0,异常
111,国产轿车,一级代理商,0.0283,0,0,0.0017,12.4257,0.0007,0.0049,0.0059,0.0703,0.08,0.0673,0.0442,正常
112,大客车,二级及二级以下代理商,0,0,0,0,0,0,0,0,0,0,0,0,异常
113,国产轿车,二级及二级以下代理商,0,0,0,0,0,0,0,0,0,0,0,0,异常
114,进口轿车,4S店,0.0494,0,0,0.0044,6.403,0.0328,-0.0229,0,0,0,0,0,异常
115,国产轿车,一级代理商,0.0494,0.0815,0,0,0.0182,6.9651,-0.005,0.057,0.0139,0,0,0,正常
116,微型面包车,4S店,0,0,0,0.0000,0,0,0,0,0,0,0,0,异常
117,国产轿车,4S店,0,0,0,0.0263,3.3587,-0.0772,0.1078,0,0,0,0,0,异常
118,国产轿车,一级代理商,0.064,0,0,0.005,19.0593,0.0394,0.0008,0,0,0,0,0,异常
119,商用货车,一级代理商,0.0713,0,0,0.008,32.2678,0.0036,0.0106,0,0.7173,0.04,0,0,异常
120,国产轿车,4S店,0,0,0,0,0,0,0,0,0,0,0,0,异常
121,卡车及轻卡,一级代理商,0.0196,0,0,0.0015,0,0.002,0.0176,0,0,0,0,0,异常
122,卡车及轻卡,其它,0,0,0,0,6.1714,0,0.0303,0,0,0,0,0,异常
123,国产轿车,4S店,0.0458,0.2942,0.0665,0.0108,11.8587,0.0014,0.0125,0.0129,0,0,0,0,正常
124,国产轿车,4S店,0.0135,0.4799,0.0094,0.0041,49.3907,0,0.0037,0.0021,0,0,0,0,异常
